local radiuses (m)  Pre-twist averaged	Chord (m)  Blade pitch	Thickness (m)
1.86	12.86	1.118   0	0.703
2.05	12.86	1.386   0	0.615
2.35	12.86	1.610   0	0.530
2.65	12.86	1.704   0       0.470
2.95	10.99	1.662	0	0.433
3.25	9.97	1.619	0	0.400
3.55	9.105	1.577	0	0.378
3.85	8.365	1.534	0	0.368
4.15	7.725	1.492	0	0.358
4.45	7.17	1.45	0	0.348
4.75	6.68	1.407	0	0.338
5.05	6.245	1.365	0	0.328
5.35	5.86	1.322	0	0.317
5.65	5.515	1.279	0	0.307
5.95	5.200	1.235	0	0.296
6.25	4.91	1.192	0	0.286
6.55	4.64	1.148	0	0.276
6.85	4.385	1.103	0	0.265
7.15	4.145	1.058	0	0.254
7.45	3.915	1.012	0	0.243
7.75	3.685	0.966	0	0.232
8.05	3.46	0.92	0	0.221
8.35	3.24	0.872	0	0.209
8.65	3.015	0.824	0	0.198
8.95	2.785	0.776	0	0.186
9.25	2.55	0.726	0	0.174
9.55	2.305	0.676	0	0.162
9.85	2.18	0.626	0	0.15
